enrollment_id,student_id,course_id,Enrollment_status,Date
1000,10000,CE6100,completed,15/02/1995
1001,10003,EE6100,completed,22/03/1997
1002,10005,CE9100,completed,08/05/2012
1003,10009,EE9100,completed,17/04/1986
1004,10011,CE100,completed,10/12/1995
1005,10013,EE100,completed,06/06/2006
1006,10015,AS6101,completed,10/10/1994
1007,10016,HS6101,completed,25/08/2020
1008,10017,AS9101,completed,12/02/2009
1009,10023,HS9101,completed,15/09/1989
1010,10025,AS101,completed,03/06/2018
1011,10029,HS101,completed,09/02/1983
1012,10035,DA6102,completed,10/08/2001
1013,10046,IS6102,completed,28/11/1996
1014,10048,DA9102,completed,30/03/1984
1015,10051,IS9102,completed,27/03/2007
1016,10052,DA102,completed,30/11/2007
1017,10053,IS102,completed,30/06/1991
1018,10054,CP6103,completed,25/10/2011
1019,10055,PS6103,completed,18/05/2019
1020,10058,CP9103,completed,27/12/2015
1021,10059,PS9103,completed,31/08/2005
1022,10061,CP103,completed,18/01/1996
1023,10062,PS103,completed,12/04/2009
1024,10063,LA6104,completed,23/07/1987
1025,10064,AF6105,completed,23/08/2000
1026,10066,BA6105,completed,15/01/1984
1027,10069,AF9105,completed,17/05/2002
1028,10070,BA9105,completed,09/06/1993
1029,10071,AF105,completed,07/07/2001
1030,10074,BA105,completed,02/03/1982
1031,10078,CE6100,completed,12/12/2018
1032,10084,EE6100,completed,18/02/1981
1033,10089,CE9100,completed,11/02/1987
1034,10091,EE9100,completed,13/04/2001
1035,10094,CE100,completed,20/06/1981
1036,10099,EE100,completed,14/05/1994
1037,10101,AS6101,completed,09/03/2001
1038,10102,HS6101,completed,07/02/1995
1039,10107,AS9101,completed,24/02/2011
1040,10109,HS9101,completed,17/12/2005
1041,10111,AS101,completed,25/07/2002
1042,10113,HS101,completed,13/08/2004
1043,10117,DA6102,completed,06/09/2020
1044,10118,IS6102,completed,04/12/2005
1045,10122,DA9102,completed,16/06/1984
1046,10124,IS9102,completed,21/10/2005
1047,10128,DA102,completed,08/02/2013
1048,10132,IS102,completed,09/04/1982
1049,10133,CP6103,completed,03/03/2015
1050,10135,PS6103,completed,11/09/1997
1051,10136,CP9103,completed,27/05/1985
1052,10138,PS9103,completed,10/10/1991
1053,10141,CP103,completed,06/02/2009
1054,10144,PS103,completed,15/07/1998
1055,10153,LA6104,completed,07/05/2008
1056,10155,AF6105,completed,11/02/1981
1057,10157,BA6105,completed,10/03/1981
1058,10160,AF9105,completed,03/06/1984
1059,10161,BA9105,completed,14/08/2005
1060,10166,AF105,completed,31/05/2002
1061,10167,BA105,completed,31/08/2009
1062,10168,CE6100,completed,31/07/1990
1063,10169,EE6100,completed,09/07/2004
1064,10172,CE9100,completed,08/10/2020
1065,10173,EE9100,completed,24/03/2012
1066,10174,CE100,completed,25/06/1993
1067,10175,EE100,completed,09/07/1988
1068,10177,AS6101,completed,04/10/2011
1069,10178,HS6101,completed,18/03/2010
1070,10180,AS9101,completed,22/01/2004
1071,10181,HS9101,completed,16/12/1995
1072,10182,AS101,completed,05/08/2008
1073,10192,HS101,completed,10/04/1996
1074,10201,DA6102,completed,03/11/1995
1075,10204,IS6102,completed,14/06/1983
1076,10206,DA9102,completed,06/01/2010
1077,10208,IS9102,completed,27/07/2006
1078,10211,DA102,completed,23/09/1989
1079,10213,IS102,completed,11/07/1993
1080,10215,CP6103,completed,04/06/2002
1081,10216,PS6103,completed,23/02/1990
1082,10223,CP9103,completed,16/09/2006
1083,10226,PS9103,completed,09/10/1999
1084,10227,CP103,completed,27/07/2007
1085,10233,PS103,completed,10/07/1980
1086,10234,LA6104,completed,04/11/1983
1087,10236,AF6105,completed,12/04/2001
1088,10239,BA6105,completed,10/02/2018
1089,10241,AF9105,completed,12/07/1992
