grade_id,student_id,module_id,score,grade
100,10001,MA100,44,F
101,10003,CH101,82,A
102,10004,EN102,97,A
103,10005,BA103,92,A
104,10006,ME104,93,A
105,10007,EN105,80,A
106,10013,PH106,79,B
107,10014,PR107,71,B
108,10015,EL108,52,D
109,10016,IN109,54,D
110,10017,DI110,52,D
111,10018,EL111,51,D
112,10019,EL112,63,C
113,10020,EL113,70,B
114,10022,CM114,100,A
115,10023,CO115,95,A
116,10026,EL116,42,F
117,10029,FI117,65,C
118,10030,EL118,52,D
119,10032,UT119,59,D
120,10033,MA120,72,B
121,10036,CH121,71,B
122,10038,EL122,94,A
123,10039,EN123,68,C
124,10041,PH124,49,F
125,10044,AD125,88,A
126,10046,EL126,84,A
127,10047,MA127,82,A
128,10048,RE129,80,A
129,10051,DI130,67,C
130,10055,IN131,69,C
131,10063,BA132,86,A
132,10065,AN133,96,A
133,10071,GE134,85,A
134,10072,GE135,98,A
135,10078,EL136,63,C
136,10081,AN137,89,A
137,10082,BA139,95,A
138,10083,FI140,68,C
139,10085,AN141,95,A
140,10088,BI142,78,B
141,10089,AN143,62,C
142,10091,GE144,53,D
143,10094,AN145,78,B
144,10095,FI146,85,A
145,10097,PA147,43,F
146,10098,RE148,76,B
147,10104,BI149,51,D
148,10105,AN150,99,A
149,10109,AN151,82,A
150,10112,AN152,75,B
151,10113,PH153,55,D
152,10114,PH154,67,C
153,10116,FI155,65,C
154,10117,RA156,52,D
155,10119,PR157,54,D
156,10120,PR158,45,F
157,10121,ST159,58,D
158,10125,DA161,99,A
159,10134,AP162,67,C
160,10136,DA163,93,A
161,10139,PR164,66,C
162,10140,PR165,89,A
163,10141,ST166,43,F
164,10143,DA167,73,B
165,10144,DA168,54,D
166,10145,MA169,85,A
167,10146,AP170,44,F
168,10148,DA171,56,D
169,10149,ST172,92,A
170,10152,MA173,62,C
171,10154,DI174,90,A
172,10155,SO175,58,D
173,10156,AD176,77,B
174,10157,NE177,80,A
175,10159,PR178,74,B
176,10160,WE179,81,A
177,10163,AP180,70,B
178,10168,EN181,53,D
179,10170,DA182,60,C
180,10180,CO183,85,A
181,10182,AP184,49,F
182,10186,WE185,63,C
183,10187,DI186,48,F
184,10189,SU187,60,C
185,10191,CL188,40,F
186,10194,TH189,56,D
187,10200,TH190,83,A
188,10205,TH191,56,D
189,10207,TH192,50,D
190,10208,PS193,48,F
191,10215,GE194,55,D
192,10217,EX195,48,F
193,10220,ET196,83,A
194,10222,TH197,49,F
195,10224,PS198,75,B
196,10230,SE199,73,B
197,10234,RE200,97,A
198,10236,DI201,42,F
199,10239,IN202,92,A
200,10241,PS203,92,A
201,10243,IN204,72,B
202,10244,PR205,69,C
203,10245,FO206,65,C
204,10247,PS207,66,C
205,10251,FO208,76,B
206,10254,PR209,46,F
207,10255,ET210,47,F
208,10258,DI211,84,A
209,10259,RE212,74,B
210,10260,SO213,54,D
211,10261,PR214,57,D
212,10264,ET215,49,F
213,10268,LA216,57,D
214,10269,JU217,65,C
215,10275,PR218,89,A
216,10276,IN219,77,B
217,10277,LA220,62,C
218,10278,CR221,93,A
219,10279,LE222,99,A
220,10282,AR223,95,A
221,10283,CI224,99,A
222,10285,PR225,94,A
223,10287,PR226,55,D
224,10292,PR227,84,A
225,10294,QU228,43,F
226,10303,IN229,98,A
227,10314,AD231,42,F
228,10318,TR232,78,B
229,10323,AD233,56,D
230,10327,AU234,45,F
231,10331,IN235,86,A
232,10335,AC236,69,C
233,10338,DI237,74,B
234,10343,RE238,86,A
235,10344,AP240,90,A
236,10346,BU241,55,D
237,10347,PR242,68,C
238,10350,FI243,98,A
239,10353,DA244,100,A
240,10354,BU245,49,F
241,10357,AP246,88,A
242,10358,AP247,95,A
243,10359,PR248,56,D
244,10360,OP249,99,A
245,10364,ET250,77,B
246,10366,ST251,86,A
247,10370,EL252,69,C
248,10372,MA100,87,A
249,10373,CH101,72,B
250,10374,EN102,96,A
251,10379,ME104,40,F
252,10383,EN105,98,A
253,10385,PH106,92,A
254,10386,PR107,55,D
255,10387,EL108,53,D
256,10388,IN109,58,D
257,10390,DI110,40,F
258,10391,EL111,83,A
259,10394,EL112,70,B
260,10395,EL113,58,D
261,10399,CM114,72,B
262,10400,CO115,75,B
263,10403,EL116,58,D
264,10404,FI117,77,B
265,10405,EL118,85,A
266,10406,UT119,96,A
267,10408,MA120,59,D
